iter	MAPE	RMSE
0	0.734341456	615435.269
1	0.5962915982	518846.7731
2	0.5069300017	458528.8332
3	0.4384853508	423275.7481
4	0.3624515054	363960.6657
5	0.3087913869	324026.0419
6	0.2775800569	301552.9923
7	0.2629700124	287971.3739
8	0.2483679893	276426.0744
9	0.23997924	271074.8122
10	0.2343264843	264072.3705
11	0.230574927	258315.5838
12	0.2275665124	254725.6021
13	0.2264057998	251821.9019
14	0.2200498193	249631.4144
15	0.2154387699	247718.1636
16	0.2145749989	245480.7234
17	0.2093562398	244138.4853
18	0.2085604382	242385.7349
19	0.2085580658	242340.0454
20	0.2059744638	242003.661
21	0.2056633175	239609.4996
22	0.2043808506	237254.9516
23	0.2033121133	236229.6666
24	0.2030269372	235606.9502
25	0.2015763231	234969.2682
26	0.2012181353	233894.9236
27	0.2003298208	232714.7091
28	0.198952509	232229.5708
29	0.1988566825	231487.5846
30	0.198899094	230994.9873
31	0.1988938852	230152.9572
32	0.1987466918	229547.384
33	0.1969435692	229015.4708
34	0.1967146219	228189.7474
35	0.1965336661	227405.8945
36	0.196418432	226745.1241
37	0.195810123	225846.3284
38	0.1953785838	225266.0344
39	0.1953373613	224564.2636
40	0.1952801696	224112.1299
41	0.1950901363	223299.7047
42	0.1950323214	222749.4899
43	0.1949943228	222452.0978
44	0.1943775423	221752.0206
45	0.1943354339	221662.1009
46	0.1943166619	221172.6152
47	0.193541829	220522.3515
48	0.1934649833	220270.7641
49	0.1933549821	219894.2872
50	0.1934027806	219629.165
51	0.1920250565	218750.7505
52	0.1919129332	218337.9573
53	0.1915358147	216765.6263
54	0.1899290985	216301.4263
55	0.188916645	215998.6387
56	0.1888653358	215202.447
57	0.1887993533	214969.8999
58	0.1887601601	214897.3498
59	0.1885607876	214248.6017
60	0.1882751173	213791.3257
61	0.1877620664	213422.5556
62	0.187673869	213132.1288
63	0.1875920157	212825.8111
64	0.1875288792	212462.2725
65	0.1874697391	211812.2325
66	0.1874774067	211445.4621
67	0.1867241359	211216.0453
68	0.186775269	210828.4924
69	0.1859281077	210206.5121
70	0.1859205512	209928.1202
71	0.1856264506	209097.7095
72	0.1834364993	208717.5604
73	0.1833848464	208352.0013
74	0.1833532499	208235.5087
75	0.1833310439	207899.3111
76	0.182370343	207501.5002
77	0.1823147837	207214.1185
78	0.181564011	207040.5328
79	0.1814098604	206667.1082
80	0.1813649906	206538.459
81	0.1813171479	206343.3464
82	0.1813126186	205656.5889
83	0.1813289947	205395.5057
84	0.1810971118	205303.3475
85	0.1810367981	204847.7238
86	0.1806309466	204640.926
87	0.1803768446	204069.7613
88	0.1804006816	203871.4041
89	0.1803022137	203601.3805
90	0.1801479754	202846.8318
91	0.1800941482	202618.0417
92	0.1796043089	202342.9173
93	0.1795603605	201775.8665
94	0.1793802703	201493.4485
95	0.1791390627	201034.7557
96	0.1789672593	200912.536
97	0.178954537	200814.8411
98	0.1787939776	200680.9456
99	0.1786541705	199633.2525
