iter	Passed	Remaining
0	44	4361
1	101	4994
2	146	4722
3	199	4787
4	273	5187
5	311	4884
6	342	4556
7	377	4341
8	403	4082
9	433	3899
10	462	3744
11	491	3607
12	521	3492
13	552	3393
14	590	3345
15	726	3812
16	808	3949
17	971	4425
18	1060	4521
19	1069	4276
20	1100	4139
21	1135	4026
22	1167	3908
23	1198	3796
24	1225	3677
25	1257	3579
26	1292	3495
27	1329	3418
28	1382	3384
29	1407	3284
30	1489	3314
31	1637	3479
32	1817	3689
33	1903	3694
34	1933	3590
35	1966	3495
36	2002	3410
37	2113	3447
38	2149	3361
39	2221	3332
40	2253	3243
41	2287	3158
42	2316	3071
43	2342	2981
44	2380	2909
45	2426	2848
46	2471	2786
47	2505	2714
48	2529	2633
49	2563	2563
50	2589	2488
51	2615	2414
52	2642	2343
53	2671	2275
54	2713	2220
55	2738	2151
56	2768	2088
57	2801	2028
58	2823	1961
59	2852	1901
60	2879	1840
61	2910	1783
62	2957	1736
63	2987	1680
64	3016	1624
65	3042	1567
66	3068	1511
67	3094	1456
68	3123	1403
69	3153	1351
70	3179	1298
71	3209	1248
72	3235	1196
73	3273	1150
74	3300	1100
75	3326	1050
76	3351	1001
77	3380	953
78	3412	907
79	3445	861
80	3479	816
81	3500	768
82	3529	722
83	3562	678
84	3591	633
85	3613	588
86	3637	543
87	3666	500
88	3697	457
89	3726	414
90	3765	372
91	3807	331
92	3869	291
93	3925	250
94	3980	209
95	4012	167
96	4055	125
97	4089	83
98	4115	41
99	4140	0
